co_cnes,resultado
2735520,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2735598,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
6545815,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2737310,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2783444,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
6517382,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
6802435,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2554437,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2554445,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2554453,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2554461,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2554488,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2554496,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2557193,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2741261,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2741288,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333442,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333469,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333485,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333507,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333523,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333558,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333566,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3333574,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3335283,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
5525128,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6826571,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6826598,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2567474,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2567482,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2567490,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
6504779,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2754088,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2754207,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2754584,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6928552,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2779919,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2783169,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2783290,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2783339,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2783371,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2740486,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2740877,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2740990,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2741105,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2741164,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6292186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6293476,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
19186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21954,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21989,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
21997,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3559858,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
6509134,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
3404935,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056698,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056868,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056884,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056892,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056906,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056914,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056922,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056930,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056949,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056957,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056965,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056973,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4056981,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4057007,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
4057015,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
6050409,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
6748597,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
6846319,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
6846327,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
3123030,61234458376886086861524070385274672740778091784697328983823014963978384987221689274204160000000000000000
3123065,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
3123103,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
4057031,61234458376886086861524070385274672740778091784697328983823014963978384987221689274204160000000000000000
2736780,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2739003,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2739089,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2739704,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
25607,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
3841723,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
6716121,4470115461512684340891257138125051110076800700282905015819080092370422104067183317016903680000000000000000
2734435,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2734516,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2734664,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2735857,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2735865,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
