co_cnes,resultado
2235471,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2235501,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2235528,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2235536,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2235544,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2235919,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2235927,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2236435,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2236443,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2236451,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2236478,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2236486,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2236494,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236524,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236540,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236567,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236656,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236664,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236672,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236869,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236877,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2236885,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2237024,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2237032,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2240262,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2240378,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2240424,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2240432,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2241285,281710411438055027694947944226061159480056634330574206405101912752560026159795933451040286452340924018275123200000000000000000000
2242044,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2242079,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2242087,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2242214,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2244608,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2244616,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2244624,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2244632,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2244667,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2244675,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2245051,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2245329,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2245337,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2245345,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2245841,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2245868,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2246341,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2247909,2107757298379527717213600518699389595229783738061356212322972511214654115727593174080683423236414793504734471782400000000000000000000
2248573,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2248646,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2249278,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2249324,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2249448,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2249707,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2249766,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2249782,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2249820,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2249839,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2249995,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250101,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250128,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250136,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250225,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250659,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250934,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2250969,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2250977,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2251027,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2251191,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2251205,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2251213,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2251418,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2251434,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2251450,5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
2257327,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2257386,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
2257661,11324281178206297831457521158732046228731749579488251990048962825668835325234200766245086213177344000000000000000000
2258854,475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
2258870,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
2258889,39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
